id,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
SAL00001,Kurum International Elbasan steel plant,Kurum Kombinati metalurgjik (Albanian),Kurum International ShA [100%],Kurum International ShA,N/A,Bradashesh,Albania,Europe,operating,700,unknown,integrated_BF,"BF, EAF",https://www.gem.wiki/Kurum_International_Elbasan_steel_plant,41.094611,20.026117
SDZ00004,ETRHB Annaba steel plant,,Etrhb Industrie SPA [100%],Etrhb Industrie SPA,N/A,Annaba,Algeria,Africa,construction,1150,N/A,electric,EAF,https://www.gem.wiki/ETRHB_steel_plant,36.834412,7.45494
SDZ00002,Sider El Hadjar Annaba steel plant,مركب الحجار للحديد والصلب (Arabic),Groupe Industriel Sider Spa [100%],Groupe Industriel Sider Spa,full,Annaba,Algeria,Africa,operating,1800,1200,integrated_BF,"BF, EAF",https://www.gem.wiki/Sider_El_Hadjar_Annaba_steel_plant,36.795924,7.707633
SDZ00002-1,Sider El Hadjar Annaba steel plant DRI expansion,مركب الحجار للحديد والصلب (Arabic),Groupe Industriel Sider Spa [100%],Groupe Industriel Sider Spa,full,Annaba,Algeria,Africa,cancelled,N/A,2500,ironmaking_DRI,DRI,https://www.gem.wiki/Sider_El_Hadjar_Annaba_steel_plant,36.795924,7.707633
SDZ00001,Algerian Qatari Steel Jijel plant,الجزائرية القطرية للصلب (Arabic),Qatar Steel Company QPSC [49%]; Groupe Industriel Sider Spa [46%]; Other [5%],Algerian Qatari Steel,partial,Jijel,Algeria,Africa,operating,2200,2500,integrated_DRI,"DRI, EAF",https://www.gem.wiki/Algerian_Qatari_Steel_Jijel_plant,36.753961,6.24442
SDZ00001-1,Algerian Qatari Steel Jijel plant EAF expansion,الجزائرية القطرية للصلب (Arabic),Qatar Steel Company QPSC [49%]; Groupe Industriel Sider Spa [46%]; Other [5%],Algerian Qatari Steel,partial,Jijel,Algeria,Africa,announced,1800,unknown,integrated_DRI,"DRI, EAF",https://www.gem.wiki/Algerian_Qatari_Steel_Jijel_plant,36.753961,6.24442
SDZ00003,Tosyali Algerie Oran steel plant,Tosyali Algérie (French),Tosyali Holding AS [100%],Tosyali Ironsteel Industry Algerie SPA,N/A,Oran,Algeria,Africa,operating,3700,2500,integrated_DRI,"DRI, EAF",https://www.gem.wiki/Tosyali_Algerie_Oran_steel_plant,35.770912,-0.263031
SDZ00003-1,Tosyali Algerie Oran steel plant EAF and DRI expansion,Tosyali Algérie (French),Tosyali Holding AS [100%],Tosyali Ironsteel Industry Algerie SPA,N/A,Oran,Algeria,Africa,announced,2000,2500,integrated_DRI,"DRI, EAF",https://www.gem.wiki/Tosyali_Algerie_Oran_steel_plant,35.770912,-0.263031
SAO00001,Aceria Angola Bengo steel plant,,Aceria Angola [100%],Aceria Angola,N/A,Bengo,Angola,Africa,operating,500,N/A,electric,EAF,https://www.gem.wiki/Aceria_Angola_Bengo_steel_plant,-8.5824,13.405271
SAR00002,TenarisSiderca Campana steel plant,Planta siderúrgica TenarisSiderca (Spanish),Tenaris SA [100%],Siderca SAI y C,N/A,Buenos Aires,Argentina,Central & South America,operating,1300,610,integrated_DRI,"DRI, EAF",https://www.gem.wiki/TenarisSiderca_Campana_steel_plant,-34.152554,-58.977388
